time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	178	19	0	159	178	19	0	159
00:05:00	300	142	127	0	174	142	127	0	174
00:10:00	600	150	132	0	192	150	132	0	192
00:15:00	900	130	142	0	180	130	142	0	180
00:20:00	1200	107	133	0	154	107	133	0	154
00:25:00	1500	121	114	0	161	121	114	0	161
00:30:00	1800	141	120	0	182	141	120	0	182
00:35:00	2100	94	132	0	144	94	132	0	144
00:40:00	2400	102	109	0	137	102	109	0	137
00:45:00	2700	86	97	0	126	86	97	0	126
00:50:00	3000	90	92	0	124	90	92	0	124
00:55:00	3300	67	92	0	99	67	92	0	99
01:00:00	3600	103	81	0	121	103	81	0	121
01:05:00	3900	124	89	0	156	124	89	0	156
01:10:00	4200	113	123	0	146	113	123	0	146
01:15:00	4500	107	101	0	152	107	101	0	152
01:20:00	4800	123	105	0	170	123	105	0	170
01:25:00	5100	86	143	0	113	86	143	0	113
01:30:00	5400	96	90	0	119	96	90	0	119
01:35:00	5700	100	100	0	119	100	100	0	119
01:40:00	6000	86	96	0	109	86	96	0	109
01:45:00	6300	79	84	0	104	79	84	0	104
01:50:00	6600	100	71	0	133	100	71	0	133
01:55:00	6900	68	82	0	119	68	82	0	119
02:00:00	7200	92	85	0	126	92	85	0	126
02:05:00	7500	70	91	0	105	70	91	0	105
02:10:00	7800	71	82	0	94	71	82	0	94
02:15:00	8100	99	73	0	120	99	73	0	120
02:20:00	8400	87	89	0	118	87	89	0	118
02:25:00	8700	92	95	0	115	92	95	0	115
02:30:00	9000	111	88	0	138	111	88	0	138
02:35:00	9300	113	107	0	144	113	107	0	144
02:40:00	9600	107	102	0	149	107	102	0	149
02:45:00	9900	108	113	0	144	108	113	0	144
02:50:00	10200	115	104	0	155	115	104	0	155
02:55:00	10500	134	118	0	171	134	118	0	171
03:00:00	10800	113	124	0	160	113	124	0	160
03:05:00	11100	108	110	0	158	108	110	0	158
03:10:00	11400	115	118	0	155	115	118	0	155
03:15:00	11700	87	125	0	117	87	125	0	117
03:20:00	12000	134	98	0	153	134	98	0	153
03:25:00	12300	109	106	0	156	109	106	0	156
03:30:00	12600	96	115	0	137	96	115	0	137
03:35:00	12900	85	100	0	122	85	100	0	122
03:40:00	13200	112	89	0	145	112	89	0	145
03:45:00	13500	103	110	0	138	103	110	0	138
03:50:00	13800	83	99	0	122	83	99	0	122
03:55:00	14100	79	94	0	107	79	94	0	107
04:00:00	14400	141	90	0	158	141	90	0	158
04:05:00	14700	155	117	0	196	155	117	0	196
04:10:00	15000	169	150	0	215	169	150	0	215
04:15:00	15300	164	153	0	226	164	153	0	226
04:20:00	15600	134	166	0	194	134	166	0	194
04:25:00	15900	181	141	0	234	181	141	0	234
04:30:00	16200	151	163	0	222	151	163	0	222
04:35:00	16500	186	179	0	229	186	179	0	229
04:40:00	16800	186	172	0	243	186	172	0	243
04:45:00	17100	160	171	0	232	160	171	0	232
04:50:00	17400	187	186	0	233	187	186	0	233
04:55:00	17700	213	178	0	268	213	178	0	268
05:00:00	18000	617	231	0	654	617	231	0	654
05:05:00	18300	612	464	0	802	612	464	0	802
05:10:00	18600	596	607	0	791	596	607	0	791
05:15:00	18900	607	599	0	799	607	599	0	799
05:20:00	19200	696	611	0	884	696	611	0	884
05:25:00	19500	670	643	0	911	670	643	0	911
05:30:00	19800	659	659	0	911	659	659	0	911
05:35:00	20100	713	702	0	922	713	702	0	922
05:40:00	20400	692	676	0	938	692	676	0	938
05:45:00	20700	701	702	0	937	701	702	0	937
05:50:00	21000	723	700	0	960	723	700	0	960
05:55:00	21300	782	714	0	1028	782	714	0	1028
06:00:00	21600	1872	819	0	2081	1872	819	0	2081
06:05:00	21900	1966	1481	0	2566	1966	1481	0	2566
06:10:00	22200	1906	1850	0	2622	1906	1850	0	2622
06:15:00	22500	1939	1884	0	2677	1939	1884	0	2677
06:20:00	22800	1948	1928	0	2697	1948	1928	0	2697
06:25:00	23100	1930	1880	0	2747	1930	1880	0	2747
06:30:00	23400	1896	1883	0	2760	1896	1883	0	2760
06:35:00	23700	1966	1852	0	2874	1966	1852	0	2874
06:40:00	24000	1974	1886	0	2962	1974	1886	0	2962
06:45:00	24300	1943	1919	0	2986	1943	1919	0	2986
06:50:00	24600	1966	1937	0	3015	1966	1937	0	3015
06:55:00	24900	1976	1939	0	3052	1976	1939	0	3052
07:00:00	25200	2533	1945	0	3640	2533	1945	0	3640
07:05:00	25500	2494	2200	0	3934	2494	2200	0	3934
07:10:00	25800	2480	2337	0	4077	2480	2337	0	4077
07:15:00	26100	2474	2239	0	4312	2474	2239	0	4312
07:20:00	26400	2484	2257	0	4539	2484	2257	0	4539
07:25:00	26700	2441	2349	0	4631	2441	2349	0	4631
07:30:00	27000	2456	2253	0	4834	2456	2253	0	4834
07:35:00	27300	2501	2138	0	5197	2501	2138	0	5197
07:40:00	27600	2390	2221	0	5366	2390	2221	0	5366
07:45:00	27900	2432	2287	0	5511	2432	2287	0	5511
07:50:00	28200	2403	2163	0	5751	2403	2163	0	5751
07:55:00	28500	2427	2106	0	6072	2427	2106	0	6072
08:00:00	28800	1020	2105	0	4987	1020	2105	0	4987
08:05:00	29100	1060	1757	0	4290	1060	1757	0	4290
08:10:00	29400	993	1298	0	3985	993	1298	0	3985
08:15:00	29700	1030	1296	0	3719	1030	1296	0	3719
08:20:00	30000	998	1281	0	3436	998	1281	0	3436
08:25:00	30300	1015	1257	0	3194	1015	1257	0	3194
08:30:00	30600	993	1165	0	3022	993	1165	0	3022
08:35:00	30900	1032	1213	0	2841	1032	1213	0	2841
08:40:00	31200	910	1089	0	2662	910	1089	0	2662
08:45:00	31500	974	1016	0	2620	974	1016	0	2620
08:50:00	31800	1025	1066	0	2579	1025	1066	0	2579
08:55:00	32100	1009	1069	0	2519	1009	1069	0	2519
09:00:00	32400	398	1042	0	1875	398	1042	0	1875
09:05:00	32700	373	764	0	1484	373	764	0	1484
09:10:00	33000	371	590	0	1265	371	590	0	1265
09:15:00	33300	355	562	0	1058	355	562	0	1058
09:20:00	33600	336	487	0	907	336	487	0	907
09:25:00	33900	360	463	0	804	360	463	0	804
09:30:00	34200	342	475	0	671	342	475	0	671
09:35:00	34500	357	475	0	553	357	475	0	553
09:40:00	34800	327	404	0	476	327	404	0	476
09:45:00	35100	343	358	0	461	343	358	0	461
09:50:00	35400	336	314	0	483	336	314	0	483
09:55:00	35700	340	347	0	476	340	347	0	476
10:00:00	36000	262	352	0	386	262	352	0	386
10:05:00	36300	239	291	0	334	239	291	0	334
10:10:00	36600	251	251	0	334	251	251	0	334
10:15:00	36900	250	240	0	344	250	240	0	344
10:20:00	37200	255	269	0	330	255	269	0	330
10:25:00	37500	256	243	0	343	256	243	0	343
10:30:00	37800	262	257	0	348	262	257	0	348
10:35:00	38100	260	264	0	344	260	264	0	344
10:40:00	38400	259	258	0	345	259	258	0	345
10:45:00	38700	283	261	0	367	283	261	0	367
10:50:00	39000	245	278	0	334	245	278	0	334
10:55:00	39300	258	259	0	333	258	259	0	333
11:00:00	39600	130	236	0	227	130	236	0	227
11:05:00	39900	136	181	0	182	136	181	0	182
11:10:00	40200	108	148	0	142	108	148	0	142
11:15:00	40500	125	108	0	159	125	108	0	159
11:20:00	40800	128	120	0	167	128	120	0	167
11:25:00	41100	144	120	0	191	144	120	0	191
11:30:00	41400	117	136	0	172	117	136	0	172
11:35:00	41700	132	133	0	171	132	133	0	171
11:40:00	42000	127	121	0	177	127	121	0	177
11:45:00	42300	142	134	0	185	142	134	0	185
11:50:00	42600	123	145	0	163	123	145	0	163
11:55:00	42900	134	117	0	180	134	117	0	180
12:00:00	43200	241	147	0	274	241	147	0	274
12:05:00	43500	247	200	0	321	247	200	0	321
12:10:00	43800	295	252	0	364	295	252	0	364
12:15:00	44100	273	261	0	376	273	261	0	376
12:20:00	44400	283	286	0	373	283	286	0	373
12:25:00	44700	291	255	0	409	291	255	0	409
12:30:00	45000	274	299	0	384	274	299	0	384
12:35:00	45300	289	290	0	383	289	290	0	383
12:40:00	45600	305	284	0	404	305	284	0	404
12:45:00	45900	334	306	0	432	334	306	0	432
12:50:00	46200	287	313	0	406	287	313	0	406
12:55:00	46500	322	312	0	416	322	312	0	416
13:00:00	46800	492	330	0	578	492	330	0	578
13:05:00	47100	441	412	0	607	441	412	0	607
13:10:00	47400	455	454	0	608	455	454	0	608
13:15:00	47700	469	469	0	608	469	469	0	608
13:20:00	48000	463	469	0	602	463	469	0	602
13:25:00	48300	451	451	0	602	451	451	0	602
13:30:00	48600	494	456	0	640	494	456	0	640
13:35:00	48900	443	467	0	616	443	467	0	616
13:40:00	49200	511	499	0	628	511	499	0	628
13:45:00	49500	560	480	0	708	560	480	0	708
13:50:00	49800	520	504	0	724	520	504	0	724
13:55:00	50100	490	542	0	672	490	542	0	672
14:00:00	50400	328	499	0	501	328	499	0	501
14:05:00	50700	357	387	0	471	357	387	0	471
14:10:00	51000	396	341	0	526	396	341	0	526
14:15:00	51300	439	375	0	590	439	375	0	590
14:20:00	51600	458	455	0	593	458	455	0	593
14:25:00	51900	486	428	0	651	486	428	0	651
14:30:00	52200	574	512	0	713	574	512	0	713
14:35:00	52500	591	513	0	791	591	513	0	791
14:40:00	52800	634	599	0	826	634	599	0	826
14:45:00	53100	631	611	0	846	631	611	0	846
14:50:00	53400	683	628	0	901	683	628	0	901
14:55:00	53700	806	661	0	1046	806	661	0	1046
15:00:00	54000	769	751	0	1064	769	751	0	1064
15:05:00	54300	849	830	0	1083	849	830	0	1083
15:10:00	54600	942	806	0	1219	942	806	0	1219
15:15:00	54900	1083	940	0	1362	1083	940	0	1362
15:20:00	55200	1200	1010	0	1552	1200	1010	0	1552
15:25:00	55500	1282	1172	0	1662	1282	1172	0	1662
15:30:00	55800	1408	1225	0	1845	1408	1225	0	1845
15:35:00	56100	1512	1367	0	1990	1512	1367	0	1990
15:40:00	56400	1598	1436	0	2152	1598	1436	0	2152
15:45:00	56700	1721	1637	0	2236	1721	1637	0	2236
15:50:00	57000	1784	1585	0	2435	1784	1585	0	2435
15:55:00	57300	1849	1734	0	2550	1849	1734	0	2550
16:00:00	57600	1885	1812	0	2623	1885	1812	0	2623
16:05:00	57900	1967	1863	0	2727	1967	1863	0	2727
16:10:00	58200	2060	1816	0	2971	2060	1816	0	2971
16:15:00	58500	2120	1986	0	3105	2120	1986	0	3105
16:20:00	58800	2206	2064	0	3247	2206	2064	0	3247
16:25:00	59100	2202	2088	0	3361	2202	2088	0	3361
16:30:00	59400	2254	2078	0	3537	2254	2078	0	3537
16:35:00	59700	2334	2164	0	3707	2334	2164	0	3707
16:40:00	60000	2400	2172	0	3935	2400	2172	0	3935
16:45:00	60300	2378	2239	0	4074	2378	2239	0	4074
16:50:00	60600	2373	2277	0	4170	2373	2277	0	4170
16:55:00	60900	2474	2286	0	4358	2474	2286	0	4358
17:00:00	61200	2414	2402	0	4370	2414	2402	0	4370
17:05:00	61500	2249	2281	0	4338	2249	2281	0	4338
17:10:00	61800	2188	2230	0	4296	2188	2230	0	4296
17:15:00	62100	2083	2175	0	4204	2083	2175	0	4204
17:20:00	62400	2094	2112	0	4186	2094	2112	0	4186
17:25:00	62700	1887	1989	0	4084	1887	1989	0	4084
17:30:00	63000	1724	1980	0	3828	1724	1980	0	3828
17:35:00	63300	1596	1783	0	3641	1596	1783	0	3641
17:40:00	63600	1465	1703	0	3403	1465	1703	0	3403
17:45:00	63900	1311	1640	0	3074	1311	1640	0	3074
17:50:00	64200	1290	1469	0	2895	1290	1469	0	2895
17:55:00	64500	1134	1347	0	2682	1134	1347	0	2682
18:00:00	64800	904	1283	0	2303	904	1283	0	2303
18:05:00	65100	932	1095	0	2140	932	1095	0	2140
18:10:00	65400	903	1005	0	2038	903	1005	0	2038
18:15:00	65700	823	973	0	1888	823	973	0	1888
18:20:00	66000	830	902	0	1816	830	902	0	1816
18:25:00	66300	742	905	0	1653	742	905	0	1653
18:30:00	66600	641	768	0	1526	641	768	0	1526
18:35:00	66900	598	746	0	1378	598	746	0	1378
18:40:00	67200	496	672	0	1202	496	672	0	1202
18:45:00	67500	490	593	0	1099	490	593	0	1099
18:50:00	67800	401	582	0	918	401	582	0	918
18:55:00	68100	412	509	0	821	412	509	0	821
19:00:00	68400	396	477	0	740	396	477	0	740
19:05:00	68700	352	454	0	638	352	454	0	638
19:10:00	69000	383	440	0	581	383	440	0	581
19:15:00	69300	349	411	0	519	349	411	0	519
19:20:00	69600	311	393	0	437	311	393	0	437
19:25:00	69900	325	336	0	426	325	336	0	426
19:30:00	70200	332	305	0	453	332	305	0	453
19:35:00	70500	311	347	0	417	311	347	0	417
19:40:00	70800	315	307	0	425	315	307	0	425
19:45:00	71100	317	312	0	430	317	312	0	430
19:50:00	71400	292	306	0	416	292	306	0	416
19:55:00	71700	292	307	0	401	292	307	0	401
20:00:00	72000	345	317	0	429	345	317	0	429
20:05:00	72300	268	331	0	366	268	331	0	366
20:10:00	72600	261	270	0	357	261	270	0	357
20:15:00	72900	248	265	0	340	248	265	0	340
20:20:00	73200	262	263	0	339	262	263	0	339
20:25:00	73500	258	258	0	339	258	258	0	339
20:30:00	73800	196	257	0	278	196	257	0	278
20:35:00	74100	226	221	0	283	226	221	0	283
20:40:00	74400	190	200	0	273	190	200	0	273
20:45:00	74700	196	209	0	260	196	209	0	260
20:50:00	75000	180	190	0	250	180	190	0	250
20:55:00	75300	175	187	0	238	175	187	0	238
21:00:00	75600	135	161	0	212	135	161	0	212
21:05:00	75900	151	175	0	188	151	175	0	188
21:10:00	76200	179	137	0	230	179	137	0	230
21:15:00	76500	165	159	0	236	165	159	0	236
21:20:00	76800	172	158	0	250	172	158	0	250
21:25:00	77100	201	195	0	256	201	195	0	256
21:30:00	77400	198	200	0	254	198	200	0	254
21:35:00	77700	229	185	0	298	229	185	0	298
21:40:00	78000	216	224	0	290	216	224	0	290
21:45:00	78300	235	205	0	320	235	205	0	320
21:50:00	78600	277	257	0	340	277	257	0	340
21:55:00	78900	280	259	0	361	280	259	0	361
22:00:00	79200	258	257	0	362	258	257	0	362
22:05:00	79500	247	267	0	342	247	267	0	342
22:10:00	79800	313	266	0	389	313	266	0	389
22:15:00	80100	297	281	0	405	297	281	0	405
22:20:00	80400	290	301	0	394	290	301	0	394
22:25:00	80700	353	297	0	450	353	297	0	450
22:30:00	81000	361	342	0	469	361	342	0	469
22:35:00	81300	320	354	0	435	320	354	0	435
22:40:00	81600	363	339	0	459	363	339	0	459
22:45:00	81900	356	336	0	479	356	336	0	479
22:50:00	82200	413	359	0	533	413	359	0	533
22:55:00	82500	399	397	0	535	399	397	0	535
23:00:00	82800	429	404	0	560	429	404	0	560
23:05:00	83100	408	428	0	540	408	428	0	540
23:10:00	83400	443	420	0	563	443	420	0	563
23:15:00	83700	363	416	0	510	363	416	0	510
23:20:00	84000	336	369	0	477	336	369	0	477
23:25:00	84300	308	336	0	449	308	336	0	449
23:30:00	84600	289	348	0	390	289	348	0	390
23:35:00	84900	276	288	0	378	276	288	0	378
23:40:00	85200	275	280	0	373	275	280	0	373
23:45:00	85500	241	279	0	335	241	279	0	335
23:50:00	85800	241	261	0	315	241	261	0	315
23:55:00	86100	198	231	0	282	198	231	0	282
24:00:00	86400	11	184	0	109	11	184	0	109
24:05:00	86700	13	90	0	32	13	90	0	32
24:10:00	87000	5	22	0	15	5	22	0	15
24:15:00	87300	8	9	0	14	8	9	0	14
24:20:00	87600	5	12	0	7	5	12	0	7
24:25:00	87900	1	4	0	4	1	4	0	4
24:30:00	88200	0	2	0	2	0	2	0	2
24:35:00	88500	1	2	0	1	1	2	0	1
24:40:00	88800	0	1	0	0	0	1	0	0
24:45:00	89100	0	0	0	0	0	0	0	0
24:50:00	89400	0	0	0	0	0	0	0	0
24:55:00	89700	0	0	0	0	0	0	0	0
25:00:00	90000	0	0	0	0	0	0	0	0
25:05:00	90300	0	0	0	0	0	0	0	0
25:10:00	90600	0	0	0	0	0	0	0	0
25:15:00	90900	0	0	0	0	0	0	0	0
25:20:00	91200	0	0	0	0	0	0	0	0
25:25:00	91500	0	0	0	0	0	0	0	0
25:30:00	91800	0	0	0	0	0	0	0	0
25:35:00	92100	0	0	0	0	0	0	0	0
25:40:00	92400	0	0	0	0	0	0	0	0
25:45:00	92700	0	0	0	0	0	0	0	0
25:50:00	93000	0	0	0	0	0	0	0	0
25:55:00	93300	0	0	0	0	0	0	0	0
26:00:00	93600	0	0	0	0	0	0	0	0
26:05:00	93900	0	0	0	0	0	0	0	0
26:10:00	94200	0	0	0	0	0	0	0	0
26:15:00	94500	0	0	0	0	0	0	0	0
26:20:00	94800	0	0	0	0	0	0	0	0
26:25:00	95100	0	0	0	0	0	0	0	0
26:30:00	95400	0	0	0	0	0	0	0	0
26:35:00	95700	0	0	0	0	0	0	0	0
26:40:00	96000	0	0	0	0	0	0	0	0
26:45:00	96300	0	0	0	0	0	0	0	0
26:50:00	96600	0	0	0	0	0	0	0	0
26:55:00	96900	0	0	0	0	0	0	0	0
27:00:00	97200	0	0	0	0	0	0	0	0
27:05:00	97500	0	0	0	0	0	0	0	0
27:10:00	97800	0	0	0	0	0	0	0	0
