Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	12:58:04	12:58:04	12:58:04			12:58:04	12:58:04	12:58:10	12:58:10	12:58:10	12:59:55	12:59:55	12:59:55	12:59:55	12:59:55	12:59:55	12:59:56	12:59:56		00:00:00		00:00:05	00:00:05	00:01:45	00:00:00	00:00:00	00:00:00	00:01:51
1	12:59:56	12:59:56	12:59:56	12:59:56	13:00:16	13:00:16	13:00:17	13:00:22	13:00:22	13:00:22	13:00:51	13:00:51	13:00:51	13:00:51	13:00:57	13:00:57	13:00:58	13:00:58		00:00:00	00:00:20	00:00:05	00:00:06	00:00:28	00:00:00	00:00:05	00:00:00	00:01:01
2	13:00:58	13:00:58	13:00:58	13:00:58	13:01:18	13:01:18	13:01:18	13:01:25	13:01:25	13:01:25	13:01:54	13:01:54	13:01:54	13:01:54	13:01:59	13:01:59	13:02:00	13:02:00		00:00:00	00:00:20	00:00:06	00:00:06	00:00:28	00:00:00	00:00:05	00:00:00	00:01:02
3	13:02:00	13:02:00	13:02:00	13:02:00	13:02:19	13:02:19	13:02:19	13:02:26	13:02:26	13:02:26	13:02:55	13:02:55	13:02:55	13:02:55	13:03:03	13:03:03	13:03:03	13:03:03		00:00:00	00:00:18	00:00:06	00:00:07	00:00:28	00:00:00	00:00:07	00:00:00	00:01:03
4	13:03:03	13:03:03	13:03:04	13:03:04	13:03:23	13:03:23	13:03:24	13:03:31	13:03:31	13:03:31	13:03:58	13:03:58	13:03:58	13:03:58	13:04:07	13:04:07	13:04:08	13:04:08		00:00:00	00:00:19	00:00:07	00:00:07	00:00:27	00:00:00	00:00:08	00:00:00	00:01:04
5	13:04:08	13:04:08	13:04:08	13:04:08	13:04:27	13:04:27	13:04:27	13:04:35	13:04:35	13:04:35	13:05:03	13:05:03	13:05:03	13:05:03	13:05:12	13:05:12	13:05:12	13:05:12		00:00:00	00:00:18	00:00:08	00:00:08	00:00:27	00:00:00	00:00:08	00:00:00	00:01:04
6	13:05:12	13:05:12	13:05:12	13:05:12	13:05:31	13:05:31	13:05:31	13:05:39	13:05:39	13:05:39	13:06:07	13:06:07	13:06:07	13:06:07	13:06:18	13:06:18	13:06:19	13:06:19		00:00:00	00:00:18	00:00:08	00:00:08	00:00:27	00:00:00	00:00:10	00:00:01	00:01:06
7	13:06:19	13:06:19	13:06:19	13:06:19	13:06:38	13:06:38	13:06:38	13:06:47	13:06:47	13:06:47	13:07:14	13:07:14	13:07:14	13:07:14	13:07:32	13:07:32	13:07:33	13:07:33		00:00:00	00:00:18	00:00:08	00:00:09	00:00:27	00:00:00	00:00:17	00:00:01	00:01:13
8	13:07:33	13:07:33	13:07:33	13:07:33	13:07:52	13:07:52	13:07:52	13:08:01	13:08:01	13:08:01	13:08:29	13:08:29	13:08:29	13:08:29	13:08:45	13:08:45	13:08:46	13:08:46		00:00:00	00:00:18	00:00:09	00:00:09	00:00:27	00:00:00	00:00:15	00:00:01	00:01:12
9	13:08:46	13:08:46	13:08:46	13:08:46	13:09:05	13:09:05	13:09:05	13:09:15	13:09:15	13:09:15	13:09:44	13:09:44	13:09:44	13:09:44	13:10:03	13:10:03	13:10:05	13:10:05		00:00:00	00:00:18	00:00:09	00:00:10	00:00:28	00:00:00	00:00:19	00:00:01	00:01:18
10	13:10:05	13:10:05	13:10:05	13:10:05	13:10:23	13:10:23	13:10:23	13:10:33	13:10:33	13:10:33	13:12:15	13:12:15	13:12:15	13:12:15	13:12:48	13:12:48	13:13:00	13:13:00		00:00:00	00:00:18	00:00:10	00:00:10	00:01:41	00:00:00	00:00:33	00:00:11	00:02:55
